Hour,Endserver,Filesize,Criteria,Path

3,4,17661,2,11

3,1,5482,1,1

3,3,13829,2,1

3,1,5482,1,1

3,3,13829,2,1

3,2,10872,2,1

3,4,17661,1,3

3,1,5482,1,1

3,3,13829,2,1

3,2,10872,1,1

3,1,5482,2,3

3,3,13829,2,1

3,3,13829,1,1

3,2,10872,2,1

3,3,13829,2,1

3,3,13829,1,3

3,2,10872,2,1

3,4,17661,1,4

3,3,13829,1,3

3,3,13829,2,1

3,2,10872,2,1

3,3,13829,1,1

3,3,13829,1,2

3,4,17661,1,1

3,1,5482,2,1

3,4,17661,2,4

3,3,13829,2,1

3,1,5482,1,1

3,1,5482,1,1

3,4,17661,1,6

3,3,13829,1,2

3,3,13829,2,1

3,2,10872,1,1

3,2,10872,2,1

3,4,17661,1,1

3,4,17661,2,11

3,2,10872,2,1

3,2,10872,2,1

3,3,13829,2,1

3,4,17661,1,2

3,3,13829,2,1

3,1,5482,2,1

3,4,17661,2,4

3,4,17661,2,2

3,1,5482,2,8

3,2,10872,1,2

3,3,13829,2,1

3,2,10872,1,2

3,1,5482,1,1

3,3,13829,2,1

4,4,17661,2,3

4,1,5482,2,2

4,2,10872,2,1

4,4,17661,2,7

4,4,17661,2,3

4,1,5482,1,1

4,2,10872,1,1

4,4,17661,1,6

4,3,13829,2,1

4,2,10872,2,1

4,1,5482,1,1

4,4,17661,1,1

4,3,13829,1,1

4,3,13829,1,2

4,3,13829,1,1

4,4,17661,1,1

4,2,10872,1,1

4,2,10872,2,1

4,4,17661,2,1

4,2,10872,2,1

4,3,13829,2,1

4,4,17661,1,2

4,1,5482,1,1

4,2,10872,2,1

4,2,10872,1,2

4,1,5482,1,1

4,1,5482,2,6

4,1,5482,2,2

4,1,5482,1,1

4,2,10872,1,7

4,2,10872,2,1

4,4,17661,2,6

4,4,17661,1,1

4,3,13829,1,1

4,2,10872,2,1

4,3,13829,2,1

4,1,5482,2,1

4,1,5482,1,1

4,4,17661,1,1

4,2,10872,2,1

4,2,10872,2,1

4,2,10872,2,1

4,2,10872,1,1

4,3,13829,2,1

4,3,13829,1,1

4,1,5482,2,1

4,4,17661,1,1

4,3,13829,2,1

4,3,13829,1,1

4,2,10872,1,1

4,3,13829,2,1

4,4,17661,1,1

4,2,10872,1,1

4,4,17661,1,6

4,4,17661,2,1

4,3,13829,2,1

4,3,13829,2,1

4,3,13829,2,1

4,2,10872,2,1

4,1,5482,2,2

4,3,13829,2,1

4,1,5482,1,1

4,1,5482,1,1

4,1,5482,1,1

4,3,13829,1,1

4,4,17661,1,1

4,2,10872,2,1

4,1,5482,1,1

4,3,13829,2,1

4,4,17661,2,1

4,2,10872,1,1

4,1,5482,2,1

4,3,13829,2,1

4,1,5482,1,1

4,2,10872,2,1

4,4,17661,2,6

4,2,10872,2,1

4,2,10872,2,1

4,4,17661,2,3

4,3,13829,1,1

4,1,5482,1,1

4,4,17661,1,1
4,1,5482,2,6
4,3,13829,2,2
4,4,17661,1,1
4,2,10872,2,1
4,2,10872,2,1
4,3,13829,2,1
4,3,13829,1,3
4,4,17661,1,7
4,3,13829,2,1
4,1,5482,1,1
4,4,17661,2,6
4,3,13829,1,4
4,2,10872,2,1
4,3,13829,1,1
4,3,13829,2,2
4,4,17661,2,1
4,2,10872,2,1
